c,z,y,q,d,t,value
IvoryCoast,IvoryCoast,2031,dry,3,t10,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,3,t11,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,3,t12,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,3,t13,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t14,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t15,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t16,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t17,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,3,t18,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t19,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t20,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t21,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t22,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t23,62.5
IvoryCoast,IvoryCoast,2031,dry,3,t24,62.5
IvoryCoast,IvoryCoast,2031,dry,4,t01,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t02,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t03,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t04,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t05,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t06,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t07,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t08,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t09,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t10,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t11,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t12,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t13,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t14,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t15,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t16,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t17,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t18,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t19,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t20,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t21,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t22,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t23,62.500000000000014
IvoryCoast,IvoryCoast,2031,dry,4,t24,62.500000000000014
IvoryCoast,IvoryCoast,2031,wet,1,t01,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t02,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t03,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t04,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t05,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t06,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t07,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t08,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t09,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t10,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t11,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t12,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t13,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t14,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t15,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t16,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t17,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t18,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t19,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t20,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t21,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t22,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t23,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,1,t24,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t01,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t02,62.5
IvoryCoast,IvoryCoast,2031,wet,2,t03,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t04,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t05,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t06,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t07,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t08,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t09,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t10,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t11,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t12,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t13,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t14,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t15,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t16,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t17,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t18,62.5
IvoryCoast,IvoryCoast,2031,wet,2,t19,62.5
IvoryCoast,IvoryCoast,2031,wet,2,t20,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t21,62.5
IvoryCoast,IvoryCoast,2031,wet,2,t22,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t23,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,2,t24,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t01,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t02,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t03,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t04,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t05,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t06,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t07,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t08,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t09,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t10,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t11,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t12,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,3,t13,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t14,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,3,t15,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t16,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t17,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,3,t18,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t19,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t20,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t21,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t22,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t23,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,3,t24,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t01,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t02,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t03,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t04,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t05,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t06,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t07,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t08,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t09,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t10,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t11,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t12,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t13,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t14,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t15,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t16,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t17,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t18,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t19,62.49999999999999
IvoryCoast,IvoryCoast,2031,wet,4,t20,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t21,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t22,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t23,62.499999999999986
IvoryCoast,IvoryCoast,2031,wet,4,t24,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t01,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t02,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t03,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t04,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t05,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t06,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t07,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t08,62.50000000000001
IvoryCoast,IvoryCoast,2032,dry,1,t09,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t10,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t11,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t12,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t13,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,1,t14,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,1,t15,62.50000000000001
IvoryCoast,IvoryCoast,2032,dry,1,t16,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,1,t17,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,1,t18,62.50000000000001
IvoryCoast,IvoryCoast,2032,dry,1,t19,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,1,t20,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,1,t21,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t22,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t23,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,1,t24,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,2,t01,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t02,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t03,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t04,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t05,62.50000000000001
IvoryCoast,IvoryCoast,2032,dry,2,t06,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t07,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t08,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t09,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t10,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t11,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t12,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t13,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t14,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t15,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t16,62.49999999999998
IvoryCoast,IvoryCoast,2032,dry,2,t17,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t18,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t19,62.50000000000001
IvoryCoast,IvoryCoast,2032,dry,2,t20,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t21,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t22,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t23,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,2,t24,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,3,t01,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t02,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t03,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t04,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t05,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t06,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,3,t07,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,3,t08,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t09,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t10,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t11,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t12,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t13,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,3,t14,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t15,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t16,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,3,t17,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,3,t18,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t19,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t20,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t21,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t22,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t23,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,3,t24,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t01,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t02,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t03,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t04,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t05,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t06,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t07,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t08,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t09,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t10,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t11,62.49999999999998
IvoryCoast,IvoryCoast,2032,dry,4,t12,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t13,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t14,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t15,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t16,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t17,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t18,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t19,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t20,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t21,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t22,62.49999999999999
IvoryCoast,IvoryCoast,2032,dry,4,t23,62.499999999999986
IvoryCoast,IvoryCoast,2032,dry,4,t24,62.49999999999999
IvoryCoast,IvoryCoast,2032,wet,1,t01,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t02,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t03,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t04,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t05,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t06,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t07,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,1,t08,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t09,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t10,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t11,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t12,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t13,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t14,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t15,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t16,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t17,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t18,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t19,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t20,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t21,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t22,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t23,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,1,t24,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t01,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t02,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t03,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t04,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t05,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t06,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t07,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t08,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t09,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t10,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t11,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t12,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t13,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t14,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t15,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t16,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t17,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t18,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,2,t19,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t20,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t21,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t22,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t23,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,2,t24,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t01,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t02,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t03,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t04,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t05,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t06,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t07,62.49999999999999
IvoryCoast,IvoryCoast,2032,wet,3,t08,62.49999999999999
IvoryCoast,IvoryCoast,2032,wet,3,t09,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,3,t10,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t11,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t12,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t13,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t14,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t15,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t16,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t17,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t18,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t19,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t20,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t21,58.01362900023814
IvoryCoast,IvoryCoast,2032,wet,3,t22,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t23,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,3,t24,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t01,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t02,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t03,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t04,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t05,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t06,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t07,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t08,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t09,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t10,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t11,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t12,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t13,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t14,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t15,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t16,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t17,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t18,62.50000000000001
IvoryCoast,IvoryCoast,2032,wet,4,t19,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t20,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t21,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t22,58.01362900023812
IvoryCoast,IvoryCoast,2032,wet,4,t23,58.01362900023813
IvoryCoast,IvoryCoast,2032,wet,4,t24,58.01362900023813
IvoryCoast,IvoryCoast,2033,dry,1,t01,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t02,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t03,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t04,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t05,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t06,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t07,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,1,t08,62.5
IvoryCoast,IvoryCoast,2033,dry,1,t09,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t10,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t11,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t12,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t13,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t14,62.5
IvoryCoast,IvoryCoast,2033,dry,1,t15,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t16,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t17,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t18,62.5
IvoryCoast,IvoryCoast,2033,dry,1,t19,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t20,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t21,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t22,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t23,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,1,t24,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t01,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t02,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t03,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t04,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t05,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t06,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t07,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t08,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t09,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t10,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t11,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t12,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t13,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t14,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t15,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t16,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t17,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t18,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t19,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t20,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,2,t21,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t22,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t23,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,2,t24,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t01,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t02,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t03,62.5
IvoryCoast,IvoryCoast,2033,dry,3,t04,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t05,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t06,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t07,62.500000000000014
IvoryCoast,IvoryCoast,2033,dry,3,t08,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t09,62.5
IvoryCoast,IvoryCoast,2033,dry,3,t10,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t11,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t12,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t13,62.5
IvoryCoast,IvoryCoast,2033,dry,3,t14,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t15,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t16,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t17,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t18,62.5
IvoryCoast,IvoryCoast,2033,dry,3,t19,62.5
IvoryCoast,IvoryCoast,2033,dry,3,t20,62.5
IvoryCoast,IvoryCoast,2033,dry,3,t21,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t22,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t23,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,3,t24,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,4,t01,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,4,t02,62.49999999999999
IvoryCoast,IvoryCoast,2033,dry,4,t03,62.500000000000014
